id,label
1,居住用地
2,居住用地
3,invalid
4,invalid
5,公园绿地
6,居住用地
7,居住用地
8,居住用地
9,公园绿地
10,invalid
11,invalid
12,工业用地
13,invalid
14,工业用地
15,工业用地
16,工业用地
17,工业用地
18,交通设施用地
19,公园绿地
20,交通设施用地
21,居住用地
22,工业用地
23,invalid
24,商业服务业设施用地
25,工业用地
26,居住用地
27,居住用地
28,商业服务业设施用地
29,invalid
30,工业用地
31,invalid
32,居住用地
33,公园绿地
34,invalid
35,工业用地
36,工业用地
37,invalid
38,体育用地
39,invalid
40,工业用地
41,invalid
42,invalid
43,工业用地
44,工业用地
45,公园绿地
46,invalid
47,防护绿地
48,体育用地
49,防护绿地
50,防护绿地
51,invalid
52,invalid
53,防护绿地
54,体育用地
55,invalid
56,invalid
57,商业服务业设施用地
58,invalid
59,公园绿地
60,体育用地
61,体育用地
62,invalid
63,体育用地
64,防护绿地
65,商业服务业设施用地
66,invalid
67,防护绿地
68,工业用地
69,invalid
70,invalid
71,invalid
72,防护绿地
73,商业服务业设施用地
74,商业服务业设施用地
75,商业服务业设施用地
76,invalid
77,invalid
78,居住用地
79,交通设施用地
80,商业服务业设施用地
81,invalid
82,invalid
83,防护绿地
84,交通设施用地
85,invalid
86,invalid
87,invalid
88,invalid
89,invalid
90,文化设施用地
91,公园绿地
92,invalid
93,体育用地
94,教育科研用地
95,invalid
96,invalid
97,invalid
98,invalid
99,居住用地
100,教育科研用地
101,invalid
102,商业服务业设施用地
103,居住用地
104,居住用地
105,居住用地
106,invalid
107,商业服务业设施用地
108,居住用地
109,invalid
110,商业服务业设施用地
111,居住用地
112,教育科研用地
113,居住用地
114,居住用地
115,invalid
116,invalid
117,invalid
118,居住用地
119,居住用地
120,居住用地
121,居住用地
122,居住用地
123,其他非建设用地
124,医疗卫生用地
125,invalid
126,invalid
127,教育科研用地
128,公园绿地
129,教育科研用地
130,商业服务业设施用地
131,居住用地
132,invalid
133,invalid
134,invalid
135,居住用地
136,居住用地
137,invalid
138,居住用地
139,商业服务业设施用地
140,invalid
141,invalid
142,invalid
143,公园绿地
144,invalid
145,居住用地
146,公园绿地
147,居住用地
148,invalid
149,文化设施用地
150,居住用地
151,invalid
152,invalid
153,教育科研用地
154,交通设施用地
155,invalid
156,invalid
157,行政办公用地
158,居住用地
159,居住用地
160,水域
161,水域
162,invalid
164,交通设施用地
165,居住用地
166,交通设施用地
167,invalid
168,invalid
169,invalid
170,invalid
171,公园绿地
172,invalid
173,invalid
174,invalid
175,invalid
176,invalid
177,防护绿地
178,水域
179,invalid
180,商业服务业设施用地
181,invalid
182,商业服务业设施用地
183,invalid
184,商业服务业设施用地
