id,label
1,invalid
2,invalid
3,invalid
4,其他非建设用地
5,居住用地
6,invalid
7,防护绿地
8,居住用地
9,公园绿地
10,invalid
11,防护绿地
12,居住用地
13,居住用地
14,invalid
15,invalid
16,invalid
17,invalid
18,invalid
19,invalid
20,invalid
21,invalid
22,invalid
23,invalid
24,invalid
25,invalid
26,居住用地
27,商业服务业设施用地
28,居住用地
29,居住用地
30,居住用地
31,invalid
32,教育科研用地
33,invalid
34,居住用地
35,invalid
36,invalid
37,居住用地
38,居住用地
39,工业用地
40,invalid
41,居住用地
42,居住用地
43,invalid
44,居住用地
45,防护绿地
46,居住用地
47,防护绿地
48,invalid
49,invalid
50,居住用地
51,其他非建设用地
52,invalid
53,invalid
54,invalid
55,其他非建设用地
56,居住用地
57,invalid
58,invalid
59,居住用地
60,invalid
61,invalid
62,invalid
63,其他非建设用地
64,居住用地
65,居住用地
66,invalid
67,invalid
68,居住用地
69,invalid
70,invalid
71,invalid
72,invalid
73,invalid
74,invalid
75,防护绿地
76,居住用地
77,居住用地
78,invalid
79,教育科研用地
80,invalid
81,居住用地
82,公园绿地
83,商业服务业设施用地
84,invalid
85,其他非建设用地
86,invalid
87,居住用地
88,居住用地
89,居住用地
90,invalid
91,invalid
92,invalid
93,invalid
94,工业用地
95,invalid
96,invalid
97,invalid
98,居住用地
99,医疗卫生用地
100,invalid
101,invalid
102,工业用地
103,其他非建设用地
104,居住用地
105,invalid
106,工业用地
107,交通设施用地
108,invalid
109,居住用地
110,交通设施用地
111,invalid
112,居住用地
113,invalid
114,invalid
115,居住用地
116,invalid
117,体育用地
118,invalid
119,invalid
120,invalid
121,invalid
122,invalid
123,居住用地
124,居住用地
125,invalid
126,invalid
127,其他非建设用地
128,invalid
129,invalid
130,invalid
131,invalid
132,invalid
133,工业用地
134,invalid
135,商业服务业设施用地
136,教育科研用地
137,invalid
138,invalid
139,公园绿地
140,居住用地
141,invalid
142,invalid
143,invalid
144,居住用地
145,居住用地
146,居住用地
147,invalid
148,工业用地
149,invalid
150,其他非建设用地
151,居住用地
152,invalid
153,invalid
154,医疗卫生用地
155,教育科研用地
156,invalid
157,invalid
158,invalid
159,invalid
160,invalid
161,商业服务业设施用地
162,其他非建设用地
163,工业用地
164,其他非建设用地
